"Town","FIPS","Year","Gender","Measure Type","Variable","Value"
"Ashford","0901501430","2008-2012","Female","Percent","Employed or Enrolled Youth",95.6
"Ashford","0901501430","2008-2012","Female","Percent","Margins of Error",71.61
"Ashford","0901501430","2008-2012","Male","Number","Employed or Enrolled Youth",140
"Ashford","0901501430","2008-2012","Male","Number","Margins of Error",68
"Ashford","0901501430","2008-2012","Male","Percent","Employed or Enrolled Youth",100
"Ashford","0901501430","2008-2012","Male","Percent","Margins of Error",67.46
"Ashford","0901501430","2009-2013","Total","Number","Employed or Enrolled Youth",205
"Ashford","0901501430","2009-2013","Total","Number","Margins of Error",84
"Ashford","0901501430","2009-2013","Total","Percent","Employed or Enrolled Youth",97.62
"Ashford","0901501430","2009-2013","Total","Percent","Margins of Error",55.79
"Ashford","0901501430","2009-2013","Female","Number","Employed or Enrolled Youth",59
"Ashford","0901501430","2009-2013","Female","Number","Margins of Error",49
"Ashford","0901501430","2009-2013","Female","Percent","Employed or Enrolled Youth",92.19
"Ashford","0901501430","2009-2013","Female","Percent","Margins of Error",102.24
"Ashford","0901501430","2009-2013","Male","Number","Employed or Enrolled Youth",146
"Ashford","0901501430","2009-2013","Male","Number","Margins of Error",68
"Ashford","0901501430","2009-2013","Male","Percent","Employed or Enrolled Youth",100
"Ashford","0901501430","2009-2013","Male","Percent","Margins of Error",64.82
"Ashford","0901501430","2010-2014","Total","Number","Employed or Enrolled Youth",190
"Ashford","0901501430","2010-2014","Total","Number","Margins of Error",68
"Ashford","0901501430","2010-2014","Total","Percent","Employed or Enrolled Youth",98.45
"Ashford","0901501430","2010-2014","Total","Percent","Margins of Error",45.14
"Ashford","0901501430","2010-2014","Female","Number","Employed or Enrolled Youth",49
"Ashford","0901501430","2010-2014","Female","Number","Margins of Error",41
"Ashford","0901501430","2010-2014","Female","Percent","Employed or Enrolled Youth",94.23
"Ashford","0901501430","2010-2014","Female","Percent","Margins of Error",104.26
"Ashford","0901501430","2010-2014","Male","Number","Employed or Enrolled Youth",141
"Ashford","0901501430","2010-2014","Male","Number","Margins of Error",55
"Ashford","0901501430","2010-2014","Male","Percent","Employed or Enrolled Youth",100
"Ashford","0901501430","2010-2014","Male","Percent","Margins of Error",54.06
"Ashford","0901501430","2011-2015","Total","Number","Employed or Enrolled Youth",169
"Ashford","0901501430","2011-2015","Total","Number","Margins of Error",64
"Ashford","0901501430","2011-2015","Total","Percent","Employed or Enrolled Youth",98.26
"Ashford","0901501430","2011-2015","Total","Percent","Margins of Error",53
"Ashford","0901501430","2011-2015","Female","Number","Employed or Enrolled Youth",62
"Ashford","0901501430","2011-2015","Female","Number","Margins of Error",44
"Ashford","0901501430","2011-2015","Female","Percent","Employed or Enrolled Youth",95.38
"Ashford","0901501430","2011-2015","Female","Percent","Margins of Error",92.96
"Ashford","0901501430","2011-2015","Male","Number","Employed or Enrolled Youth",107
"Ashford","0901501430","2011-2015","Male","Number","Margins of Error",46
"Ashford","0901501430","2011-2015","Male","Percent","Employed or Enrolled Youth",100
"Ashford","0901501430","2011-2015","Male","Percent","Margins of Error",60.29
"Ashford","0901501430","2012-2016","Total","Number","Employed or Enrolled Youth",147
"Ashford","0901501430","2012-2016","Total","Number","Margins of Error",61
"Ashford","0901501430","2012-2016","Total","Percent","Employed or Enrolled Youth",100
"Ashford","0901501430","2012-2016","Total","Percent","Margins of Error",59.18
"Ashford","0901501430","2012-2016","Female","Number","Employed or Enrolled Youth",48
"Ashford","0901501430","2012-2016","Female","Number","Margins of Error",34
"Ashford","0901501430","2012-2016","Female","Percent","Employed or Enrolled Youth",100
"Ashford","0901501430","2012-2016","Female","Percent","Margins of Error",98.67
"Ashford","0901501430","2012-2016","Male","Number","Employed or Enrolled Youth",99
"Ashford","0901501430","2012-2016","Male","Number","Margins of Error",51
"Ashford","0901501430","2012-2016","Male","Percent","Employed or Enrolled Youth",100
